ASH,TA_AV,RH
0,32,69.3
1,32.1,69.2
2,32.2,69
2,32.3,69.1
2,32.2,68.8
2,32.3,68.7
1,33.8,65.8
3,34.1,65.3
1.5,33.7,65.5
2,33.8,65.2
2,33.5,66.7
2.5,32.6,69.7
3,32.4,69.3
2,32.4,70
3,32.4,69.6
2,32.4,68.6
2,32.3,69.2
2,32.1,69.6
1,32,69.4
1,32.2,69.8
1,32.3,69.3
2,32.3,69.2
3,32.2,70.1
3,32.2,70.4
2,32.3,69.7
3,32.6,69.3
2,32.7,69.3
3,32.5,69.7
1,32.4,69.9
2,32.7,69.6
2,32.7,69.6
1,31.4,69.7
1,31.5,69.5
0.5,31.8,69
1,31.8,69.6
2,32.3,69.6
3,32.5,69.5
2,32,70.4
1,32,70
1,32.4,69.5
3,31.7,71.6
3,31.7,71.7
2,31.7,71.8
1,31.8,71.4
0,31.8,71
3,31.5,71.6
2.5,31.9,70.6
1,32.2,70.1
3,31.8,70.7
2,32.4,69.4
2,32.7,68.8
1,33,69.5
1,32.9,69.6
3,32.6,69.5
2,32.5,69.8
3,32.2,66.3
1,32,66.7
1,32.2,67.3
1,32.4,67.5
3,32.7,66.6
0,32.8,66.7
2,33.1,66.4
2,33.2,65.8
2,33.4,62.3
2.5,33.4,62.8
2.5,33.6,59.9
3,33.6,59.3
2.5,34,58.8
1,33.9,59.3
1,33.7,60.5
2,33.6,59.8
1.5,33.7,59.8
2,33.7,59
3,33.7,60.3
1.5,33.7,61.4
3,33.8,61.7
2,33.8,61.4
2,33.3,61.6
2,33.6,60.9
2.5,33.8,60
1,33.6,60.2
2,33.7,59.8
3,33.6,59.5
1,33.6,59.1
2,33.5,59.8
1,33.6,60.5
2,28.7,81.9
0,29.1,81.2
0,29.2,80.6
1,29.3,80
1,29.3,79.2
1,29.4,77.6
1,29.4,76.5
0,29.3,81.4
1,29.4,76.7
-1,29.4,87
0,29.7,75.4
1,29.9,75.1
1,30.2,75.2
1,30.3,75.4
2,30.2,74.8
1,30.2,73.6
2,30.4,73.5
1,29.1,73
0,30.5,73.3
0,30.5,73.3
0,30.9,72.1
0,30.9,72.2
0,31,84.3
2,31,75.4
1,31.4,69.7
1,31.5,68.9
2,31.8,68.6
0,31.7,67.8
1,31.9,67.4
0,31.6,68.6
0,31.7,67.5
2,31.7,67
1,31.9,67.1
2,32,67.2
2,32.1,67.2
0,32.1,66.8
1,31.8,69
1,31.9,68.1
1,32.1,67.8
2,31.6,69.3
1,31.6,69.4
2,32.3,67.5
1,32.3,68.1
1,32.4,67.3
1.5,32.3,68.1
1,32.1,67.6
0,32.3,68.1
1,30.2,73.2
0,30.5,71.1
0,30.4,70.9
2,30.8,70.6
1,30.7,71
0,30.7,70.7
1,30.8,71.3
2,30.7,71.2
1,30.6,71.6
1,30.8,71.1
0,30.6,70.9
2,30.6,71.3
1,30.5,72.3
2,29.6,74.5
1,29.2,76.2
1,29.1,76.4
0,28.6,77.1
2,28.6,77.7
3,28.9,77.5
-1,29.6,76.1
0,30,74.4
2,28.6,83.5
0,28.4,83.4
0,28.3,85.5
0,28.5,85
1,28.1,86
0,28.5,86.9
-1,28.4,85.4
0.5,29.6,76.9
2.5,30.6,74.9
1,30.5,74.4
0,24,40.7
1,30.3,74.2
2.5,30.3,74
2,29.9,73.3
2,31,72.9
1.5,31.3,72.5
0,26.7,44.2
2,30.5,73.6
2.5,30.5,74
0,30.6,74.7
2.5,30.7,74.7
2,30.8,74.6
2,31,74.9
2,30.7,75.2
3,30.5,75.9
1.5,30.5,76.2
-1,31,75.8
3,31.2,75.9
3,30.7,77.6
0.5,30.6,78.1
2,30.7,78.5
0.5,30.9,78.4
1,23.47333333,43.49
1,23.2,44.09
1,23.16,44.08
-0.5,22.70333333,45.01
0,22.71,44.93
0.5,22.76,44.84
1,22.94666667,44.48
2,22.97666667,44.5
0,22.94333333,44.44
1.2,22.58,45.24
1,22.87,44.5
-1,23.09666667,43.93
1,22.93,44.55
1,22.96666667,44.47
1,22.97666667,44.48
1.5,23.05666667,44.28
0,22.85333333,45.12
0,22.89,44.67
-0.5,22.88666667,45.54
0,23.05,45.58
0,23.21333333,45.95
1,23.67666667,44.89
0,23.73,44.86
2,23.67333333,45.09
1,23.56333333,45.17
-1,22.97,46.48
0,22.81,47
0,22.94333333,46.38
-1,23.15,45.77
1,22.89666667,45.84
0,23.14,45.29
1,23.19,45.17
0,23.24666667,45.03
-1,22.74333333,46.29
0,22.98333333,45.57
2,23.22666667,44.9
0,23.04333333,45.47
0,22.99,45.56
0,22.77666667,46.21
1,22.96333333,45.59
0,23.26,45.08
0,23.18,45.13
1,23.19333333,45.14
0.5,22.96666667,45.81
-1,23.01333333,45.72
0,23.09666667,45.3
-0.5,23.29333333,44.95
1,23.07666667,45.93
0,23.17333333,45.94
1,23.39666667,45.39
0,23.5,45.31
0,23.46333333,45.56
-0.3,23.35666667,45.85
1,23.33666667,45.87
1,23.33,45.97
0,23.45666667,45.31
1,23.18333333,46.01
0,22.81,45.61
0,22.78333333,45.83
0,22.63333333,46.39
1,22.98666667,45.05
1,23.14,44.56
0,22.96,45.33
0,23.31,44.02
1,22.98,45
1,23.06333333,44.76
1,22.67333333,43.02
1,23.18666667,42.68
0,23.33,42.49
-1,23.66666667,41.54
0,23.46,42.49
1,23.77333333,41.94
0,23.57333333,42.54
0,23.82333333,41.81
0,23.13,43.67
0,23.17,43.06
1,23.17666667,42.54
0,23.09333333,42.22
0,22.97333333,42.32
1,22.23333333,42.59
1,22.68666667,41.59
0,22.86666667,41.29
0,22.88,41.28
-1,22.75,41.83
1,22.80666667,41.82
2,22.73,42.07
0,22.79333333,42.17
1,22.80666667,42.26
0,23.05666667,41.95
1,22.74,45.55
0,23.07,45.57
1,23.31,45.53
0,23.32,45.78
0,23.35,45.9
0,23.24,46.37
0,23.46666667,45.83
1.2,23.34,46.37
1,23.40333333,46.3
1,23.43666667,46.34
0,23.32,46.94
0,23.31,46.67
-0.3,23.3,46.72
-1,22.99,47.69
0,22.76,47.9
1,22.81333333,48.04
0,22.83333333,47.63
-0.2,23.02333333,47.15
0,23.16,46.86
0,22.62333333,48.31
0,22.94,47.49
-1,25,61
-1,25,61
0,25,61
-1,25,61
-1,25,61
0,25,61
0,25,61
0,26,60
0,26,60
1,26,60
1,26,60
0,26,60
0,26,60
1,26,60
0,26,60
1,26,60
0,26,60
-1,26,60
-1,24,64
1,24,64
0,24,64
0,24,64
0,24,64
-2,24,64
-1,24,64
-1,24,64
-1,24,64
0,24,64
-3,24,64
-1,24,64
-2,24,64
