BLCODE,SUB,AGE,SEX,YEAR,DAY,TIME,ASH,PRXY_TSA,TSA,MCI,VENT,AVM,COMF,ACT10,ACT20,ACT30,ACT60,MET,CLO,UPHOLST,INSUL,TA_H,TA_M,TA_L,DEWPT,PRTA-B,TG_H,TG_M,TG_L,VEL_H,VEL_M,VEL_L,TURB_H,TURB_M,TURB_L,TAAV,TRAV,TOP,VELAV,VELMAX,TUAV,PA,RH,ET,SET,TSENS,DISC,PMV,PPD,PD_H,PD_M,PD_L,PD_MAX,PCC,PCC_AG,PCS,PCEC1,PCEC2,PCEC3,PCEC4,PCEC5,PCEC6,PCEC7,PCED1,PCED2,PCED3,PCED4,PCED5,PCED6,PCED7,day15_ta,day06_ta,dayav_ta,day15_rh,day06_rh,dayav_rh,day15_et,day06_et,dayav_et
1,1,.,0,1992,30,1108,0,2,.,2,.,.,6,.,.,.,.,1,0.59076,0.15,0.74076,23.7 ,23.5 ,23.0 ,8.3 ,1.0 ,23.7 ,23.5 ,23.0 ,0.12 ,0.12 ,0.09 ,0.77 ,1.71 ,1.49 ,23.4 ,23.4 ,23.4 ,0.11 ,0.12 ,1.33 ,1.091333604,37.94849877,23.3,23.9,-0.11,-0.11,-0.54,0.11,0.13,0.21,0.11,0.21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.777777778,1.111111111,1.944444444,89,92,90.5,2.9,1.2,2.05
1,81,.,1,1992,30,1137,0,2,.,2,.,.,6,.,.,.,.,1,0.64272,0.15,0.79272,22.8 ,22.5 ,21.9 ,6.8 ,-0.4 ,22.9 ,22.6 ,22.0 ,0.07 ,0.06 ,0.04 ,0.39 ,0.79 ,0.81 ,22.4 ,22.5 ,22.4 ,0.06 ,0.07 ,0.66 ,0.986169289,36.44863755,22.3,23.3,-0.14,-0.14,-0.7,0.15,0.04,0.03,0.00,0.04,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.777777778,1.111111111,1.944444444,89,92,90.5,2.9,1.2,2.05
1,23,.,1,1992,30,1251,1,2,.,3,.,.,5,.,.,.,.,1,0.95172,0.15,1.10172,23.1 ,23.1 ,22.9 ,7.2 ,-0.3 ,23.3 ,23.1 ,22.9 ,0.09 ,0.05 ,0.05 ,0.17 ,0.38 ,2.65 ,23.0 ,23.1 ,23.1 ,0.06 ,0.09 ,1.07 ,1.012230528,36.00124446,22.9,25.8,-0.02,-0.02,-0.02,0.05,0.05,0.00,0.00,0.05,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.777777778,1.111111111,1.944444444,89,92,90.5,2.9,1.2,2.05
1,24,.,1,1992,30,1305,-1,2,.,1,.,.,5,.,.,.,.,1.2,0.72924,0.15,0.87924,23.6 ,23.5 ,23.3 ,7.5 ,-0.5 ,23.7 ,23.6 ,23.3 ,0.08 ,0.11 ,0.09 ,0.18 ,0.30 ,0.38 ,23.5 ,23.5 ,23.5 ,0.09 ,0.11 ,0.29 ,1.036833834,35.90864619,23.2,25.6,0.02,0.07,0.19,0.06,0.05,0.07,0.07,0.07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.777777778,1.111111111,1.944444444,89,92,90.5,2.9,1.2,2.05
1,22,.,1,1992,30,1312,-1.3,2,.,1,.,.,3,.,.,.,.,1.2,0.70452,0.15,0.85452,23.2 ,23.2 ,23.1 ,7.6 ,-0.2 ,23.3 ,23.2 ,23.1 ,0.09 ,0.10 ,0.07 ,0.22 ,0.24 ,0.45 ,23.2 ,23.2 ,23.2 ,0.09 ,0.10 ,0.30 ,1.041817133,36.74099192,23,25.2,-0.01,-0.01,0.09,0.05,0.06,0.07,0.04,0.07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.777777778,1.111111111,1.944444444,89,92,90.5,2.9,1.2,2.05
1,11,.,1,1992,30,1341,0,2,.,2,.,.,5,.,.,.,.,1.4,0.70452,0.15,0.85452,22.5 ,22.1 ,21.8 ,5.6 ,-0.1 ,22.7 ,22.4 ,22.1 ,0.14 ,0.08 ,0.09 ,0.19 ,0.20 ,0.22 ,22.1 ,22.4 ,22.3 ,0.10 ,0.14 ,0.20 ,0.904288235,33.93502597,21.9,25,-0.01,-0.01,0.19,0.06,0.10,0.05,0.06,0.10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.777777778,1.111111111,1.944444444,89,92,90.5,2.9,1.2,2.05
1,14,.,1,1992,30,1348,0,2,.,2,.,.,5,.,.,.,.,1,0.97644,0.15,1.12644,22.7 ,22.6 ,22.1 ,6.2 ,-0.4 ,22.9 ,22.7 ,22.2 ,0.11 ,0.05 ,0.06 ,0.15 ,0.27 ,0.33 ,22.5 ,22.6 ,22.5 ,0.07 ,0.11 ,0.25 ,0.946052326,34.7821161,22.4,25.5,-0.04,-0.04,-0.12,0.05,0.07,0.01,0.03,0.07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.777777778,1.111111111,1.944444444,89,92,90.5,2.9,1.2,2.05
1,13,.,1,1992,30,1355,2,1,.,3,.,.,2,.,.,.,.,1,0.88992,0.15,1.03992,22.9 ,22.8 ,22.3 ,6.4 ,-0.3 ,23.0 ,22.8 ,22.4 ,0.06 ,0.07 ,0.06 ,0.40 ,0.08 ,0.28 ,22.6 ,22.7 ,22.7 ,0.07 ,0.07 ,0.25 ,0.961697244,35.00818115,22.5,25.1,-0.05,-0.05,-0.22,0.06,0.03,0.04,0.03,0.04,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.777777778,1.111111111,1.944444444,89,92,90.5,2.9,1.2,2.05
1,12,.,1,1992,30,1403,0,2,.,2,.,.,5,.,.,.,.,1.2,0.618,0.15,0.768,23.0 ,22.8 ,22.4 ,6.6 ,-0.1 ,23.1 ,22.8 ,22.5 ,0.07 ,0.09 ,0.06 ,0.35 ,0.34 ,0.18 ,22.7 ,22.8 ,22.8 ,0.07 ,0.09 ,0.29 ,0.972924801,35.22395115,22.6,24.1,-0.05,-0.05,-0.15,0.05,0.04,0.07,0.02,0.07,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.777777778,1.111111111,1.944444444,89,92,90.5,2.9,1.2,2.05
1,3,.,0,1992,30,1426,0,2,.,2,.,.,6,.,.,.,.,1,0.70016,0.15,0.85016,23.6 ,23.4 ,23.1 ,7.5 ,-1.1 ,23.7 ,23.5 ,23.1 ,0.09 ,0.08 ,0.06 ,0.24 ,0.15 ,0.48 ,23.4 ,23.4 ,23.4 ,0.07 ,0.09 ,0.29 ,1.036123649,36.04320716,23.2,24.6,-0.08,-0.08,-0.32,0.07,0.05,0.04,0.02,0.05,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.777777778,1.111111111,1.944444444,89,92,90.5,2.9,1.2,2.05
